ID,Income,CCAvg,Personal Loan,CreditCard
130,70,0.5,0,1
131,81,1.5,0,0
132,149,7.2,1,1
133,51,1.75,0,0
134,39,1.1,0,0
135,98,1.8,0,0
136,45,2.1,0,1
137,49,2.5,0,0
138,128,0.4,0,0
139,42,1.5,0,1
140,18,1.2,0,0
141,31,0.4,0,1
142,58,2,0,1
143,48,2.1,0,1
144,54,1.6,0,1
145,70,1.5,0,0
146,124,7.4,0,1
147,84,2.67,0,1
148,83,3.6,0,0
149,163,0.4,0,0
150,42,2.2,0,0
151,118,7.5,0,1
152,132,6.5,1,1
153,24,1.3,0,1
154,22,1,0,1
155,58,1.3,0,0
156,60,1.6,0,0
157,15,0.4,0,1
158,83,2.67,0,1
159,79,1.5,0,1
160,41,1.7,0,0
161,134,6.5,1,0
162,80,2.8,0,0
163,52,2,0,0
164,70,2.6,0,0
165,92,1.1,0,0
166,43,1.5,0,0
167,21,1,0,0
168,23,0.9,0,1
169,13,1,0,0
170,112,2.1,0,1
171,138,2,0,0
172,11,0.4,0,0
173,171,7.8,0,0
174,42,1.5,0,1
175,168,7.9,1,0
176,85,1.1,0,0
177,44,1,0,0
178,65,1.8,0,0
179,24,0.2,0,1
180,11,0.1,0,0
181,38,1,0,0
182,10,0.7,0,0
183,135,1.5,0,0
184,148,4.1,1,0
185,63,1.5,0,0
186,115,1,0,0
187,45,0.3,0,1
188,159,1.9,1,0
189,169,2.1,0,0
190,112,1.4,0,0
191,93,4.3,0,0
192,29,0.3,0,0
193,85,2.67,0,0
194,21,0.6,0,1
195,144,6.8,0,0
196,13,1,0,0
197,165,5,0,1
198,9,0.7,0,0
199,59,0,0,0
200,158,5.1,1,1
201,29,1.9,0,1
202,20,1.4,0,1
203,68,2,0,0
204,65,2.2,0,0
205,61,1.9,0,0
206,91,1.4,0,1
207,31,1,0,0
208,71,0.1,0,0
209,73,2.67,0,1
210,172,3.1,1,1
211,20,0,0,0
212,55,0.2,0,0
213,69,1.7,0,0
214,155,7.4,0,0
215,94,1.9,0,0
216,92,0,0,1
217,125,0.6,0,0
218,74,3,0,0
219,72,0.3,0,0
220,61,2.2,0,1
221,25,0.3,0,1
222,83,1.7,0,0
223,104,2.5,0,0
224,41,1,0,0
225,58,1.8,0,0
226,93,1.5,0,1
227,39,1.7,0,0
228,148,7.5,0,1
229,53,1.9,0,1
230,71,1.7,0,1
231,92,2.8,0,0
232,61,2.1,0,0
233,38,2.5,0,0
234,58,1.7,0,0
235,80,0.8,0,0
236,71,1.8,0,0
237,89,0.5,0,1
238,83,1.8,0,0
239,28,0.2,0,1
240,52,1.7,0,0
241,70,1.2,0,0
242,71,1.4,0,1
243,75,3.7,0,0
244,170,7.9,1,0
245,78,0.8,0,0
246,25,1,0,0
247,60,0.6,0,1
248,120,2.7,1,0
249,99,1.4,0,1
250,55,2.6,0,1
251,29,1,0,0
252,170,6.2,1,0
253,53,2.2,0,1
254,138,0,0,0
255,134,3.9,1,0
256,42,0.7,0,1
257,99,2.3,0,1
258,18,0.5,0,1
259,24,0.3,0,0
260,55,1.4,0,0
261,58,0,0,1
262,111,1.2,1,0
263,33,0.3,0,1
264,74,1.8,0,1
265,38,0.7,0,0
266,23,0.6,0,0
267,61,1.5,0,0
268,81,2.9,0,0
269,129,2.5,0,0
270,33,0.75,0,0
271,63,2.2,0,0
272,70,1.4,0,0
273,45,0.2,0,1
274,65,0.5,0,0
275,74,2.2,0,1
276,50,1.8,0,0
277,22,0.5,0,0
278,30,1,0,0
279,21,1,0,0
280,155,3.9,0,0
281,64,2.1,0,0
282,65,2.6,0,1
283,71,0.7,0,0
284,40,0.5,0,0
285,69,0.5,0,0
286,69,2.33,0,0
287,45,0.6,0,0
288,62,0.7,0,1
289,172,4.3,1,0
290,24,1,0,1
291,80,4.9,0,0
292,8,0.67,0,0
293,38,0.8,0,1
294,93,2.6,0,0
295,55,2,0,0
296,64,1.7,0,1
297,122,0,0,0
298,70,1.4,0,0
299,81,3.2,0,0
300,159,5.5,1,0
301,70,1.3,0,0
302,150,6.9,0,0
303,152,7.5,0,0
304,195,3,1,0
305,22,0.1,0,0
306,22,1.3,0,0
307,79,0.8,0,1
308,33,1.4,0,0
309,128,4.33,0,1
310,91,3.8,0,0
311,39,0.9,0,1
312,121,7.3,0,0
313,21,0.67,0,0
314,41,2.3,0,1
315,45,0.7,0,0
316,51,0.3,0,0
317,165,1.6,1,0
318,119,4.2,1,0
319,110,1.8,0,0
320,20,0.7,0,1
321,64,0.8,0,0
322,101,4.4,1,0
323,101,3.9,1,0
324,99,4.4,1,0
325,158,6.1,1,0
326,89,1.9,0,1
327,80,1.3,0,1
328,114,2,0,0
329,49,0.5,0,1
330,191,6.33,0,0
331,78,1,0,0
332,28,1,0,0
333,42,0.8,0,0
334,140,2.5,0,0
335,45,1.3,0,0
336,122,0.3,0,1
337,65,2.6,0,0
338,68,1.4,0,0
339,153,2,0,0
340,89,1.4,0,0
341,91,2.6,0,1
342,55,2,0,0
343,118,3.3,0,1
344,22,0.67,0,0
345,63,1.4,0,1
346,12,0.5,0,0
347,50,2.7,0,0
348,43,1.6,0,1
349,173,6.6,1,1
350,60,3,1,0
351,113,1,0,0
352,155,5.3,1,0
353,91,1,0,1
354,55,1.1,0,0
355,173,1.4,0,0
356,71,0.3,0,1
357,24,0.4,0,0
358,42,2,0,0
359,141,4.33,0,0
360,32,1.9,0,0
361,55,1.3,0,0
362,153,7.5,0,0
363,113,1.4,0,1
364,30,1.7,0,0
365,29,1,0,1
366,174,6.8,1,0
367,35,0.3,0,0
368,98,2,0,0
369,30,1,0,0
370,58,2.5,0,1
371,25,1,0,0
372,19,0.7,0,0
373,44,0.7,0,0
374,20,1,0,1
375,98,3.1,0,0
376,90,1.6,0,0
377,61,0.7,0,0
378,40,2,0,0
379,38,2.1,0,0
380,28,1.7,0,0
381,34,1.5,0,1
382,73,2.3,0,1
383,133,2,1,1
384,53,0.2,0,0
385,21,0.6,0,1
386,40,0.9,0,0
387,41,1.7,0,0
388,82,1.8,0,0
389,100,3.4,1,0
390,155,7,0,1
391,45,0.2,0,0
392,9,0.3,0,1
393,48,1.8,0,0
394,18,0.1,0,1
395,80,3.4,0,1
396,64,2.8,0,0
397,29,0.1,0,0
398,48,0.7,0,0
399,23,0.4,0,0
400,84,0.2,0,1
401,179,6.6,1,0
402,30,1.5,0,1
403,93,4.9,0,1
404,39,1.9,0,0
405,60,0.5,0,0
406,133,3.8,0,1
407,125,2.4,0,0
408,58,1.8,0,0
409,89,2.8,0,0
410,82,2.67,0,0
411,110,3.3,0,1
412,54,2.3,0,0
413,89,1.9,0,0
414,42,2.3,0,0
415,41,1.9,0,1
416,38,1,0,0
417,85,0.4,0,0
418,83,1,0,0
419,33,1,0,0
420,50,2.1,0,1
421,58,3.6,0,1
422,115,3.1,1,0
423,145,6.3,0,0
424,161,7.5,0,0
425,38,0.2,0,0
426,28,0.8,0,0
427,75,2.33,0,1
428,35,1.3,0,1
429,24,1,0,1
430,78,0.1,0,0
431,113,1.3,0,0
432,75,2.1,0,0
433,91,5.7,0,0
434,31,0.2,0,1
435,45,1.8,0,0
436,80,0.8,0,0
437,50,1.4,0,0
438,31,1,0,0
439,113,3.8,1,1
440,29,0.6,0,0
441,59,1.5,0,0
442,43,1.3,0,0
443,122,3,1,0
444,29,1,0,0
445,91,0,0,1
446,65,2.2,0,0
447,22,1,0,1
448,71,1.4,0,0
449,60,2,0,1
450,60,2,0,0
451,69,0.3,0,1
452,48,1.75,0,0
453,21,0.2,0,0
454,53,2.8,0,0
455,29,0.9,0,0
456,60,2.2,0,0
457,42,0.5,0,0
458,69,0.3,0,0
459,20,1,0,1
460,200,3,0,0
461,141,2.1,0,1
462,81,3.7,0,0
463,183,8.3,1,0
464,149,5.5,1,0
465,83,3.6,1,1
466,35,1.9,0,0
467,13,0.9,0,0
468,39,2.4,0,1
469,21,0.5,0,0
470,10,0.7,0,1
471,84,1.8,0,0
472,30,0.1,0,1
473,31,0.3,0,0
474,182,1.2,1,0
475,114,6.9,0,0
476,152,6.1,1,0
477,53,0.8,0,1
478,24,0.4,0,0
479,150,3.3,0,1
480,132,6,0,1
481,68,1.6,0,1
482,53,1.2,0,1
483,173,4.6,1,0
484,30,1,0,0
485,113,0.2,0,1
486,15,0.8,0,0
487,84,3.7,0,0
488,88,1.4,0,1
489,43,2.8,0,0
490,43,2.1,0,1
491,90,2.7,0,0
492,34,0.3,0,0
493,38,1.3,0,0
494,173,1,0,1
495,160,8,0,0
496,44,0.6,0,1
497,83,0.4,0,0
498,94,2.6,0,0
499,43,2.1,0,1
500,42,1.7,0,0
501,34,0.3,0,0
502,39,1.9,0,0
503,70,0.1,0,0
504,39,1.8,0,1
505,44,2,0,0
506,69,3.1,1,0
507,44,0.9,0,0
508,32,0.1,0,0
509,15,0.7,0,0
510,118,6.8,0,0
511,62,1.3,0,0
512,82,2.2,0,0
513,54,3,0,1
514,48,2.1,0,0
515,74,0.3,0,0
516,113,1,0,1
517,81,1.7,0,0
518,43,1,0,0
519,34,1.8,0,0
520,48,2.5,0,0
521,54,1.2,0,1
522,75,1.4,0,0
523,72,2.8,0,0
524,39,0.9,0,0
525,75,0.2,0,0
526,79,2.8,0,0
527,205,6.33,0,1
528,65,0.1,0,0
529,122,0.2,1,0
530,82,0.8,0,0
531,21,0.2,0,1
532,50,2.1,0,1
533,39,2.8,0,1
534,101,1.9,0,0
535,41,0.6,0,0
536,132,0.3,0,0
537,43,2.4,0,0
538,131,4.9,1,0
539,11,0.4,0,1
540,21,0.3,0,0
541,109,2.3,0,0
542,141,4.33,0,0
543,81,0.1,0,0
544,54,2.4,0,1
545,164,7.8,0,0
546,28,0.3,0,0
547,68,2.6,0,0
548,44,2,0,1
549,61,1.4,0,1
550,35,1.3,0,1
551,54,0.3,0,1
552,14,0.1,0,1
553,52,2.2,0,0
554,101,0.3,0,0
555,149,7.2,0,0
556,35,0.8,0,1
557,21,0.3,0,0
558,118,1.9,0,1
559,38,2,0,0
560,24,0.2,0,0
561,59,3.7,0,0
562,41,1.67,0,0
563,85,0.8,0,1
564,12,1,0,0
565,32,0.6,0,0
566,79,0.8,0,0
567,175,3.6,1,1
568,28,0.9,0,0
569,41,0.1,0,1
570,70,2.1,0,0
571,161,6.5,1,0
572,53,2.2,0,0
573,128,3.4,0,0
574,50,1,0,1
575,80,2,0,1
576,93,2.7,0,0
577,48,0.3,0,1
578,149,6.8,0,0
579,49,2.5,0,1
580,88,2.7,0,0
581,22,0.4,0,1
582,55,2.2,0,1
583,72,0.7,0,0
584,38,1.7,0,0
585,114,3.4,0,0
586,83,4,0,0
587,101,0.4,0,1
588,94,4.9,0,0
589,40,2.5,0,1
590,128,6,0,0
591,39,2.1,0,0
592,51,1,0,0
593,79,2,0,1
594,48,2.2,0,0
595,85,0,0,0
596,41,1.8,0,0
597,152,3.5,1,0
598,125,7.2,0,1
599,11,0.2,0,0
600,103,2.5,0,1
601,141,0.5,0,0
602,38,1.4,0,1
603,135,0.6,0,0
604,28,0.5,0,0
605,70,2.2,0,1
606,41,0.2,0,1
607,81,0.9,0,0
608,170,0.1,1,0
609,55,1.7,0,0
610,24,1.5,0,0
611,81,1.8,0,0
612,32,1.8,0,0
613,129,1.3,0,1
614,108,0.9,0,0
615,180,8.6,0,1
616,139,6.9,0,0
617,33,1.4,0,1
618,74,2.6,0,0
619,42,0.7,0,0
620,73,3,0,0
621,115,2.9,1,0
622,114,1.8,0,0
623,92,1.9,0,0
624,34,0.3,0,0
625,54,1.67,0,0
626,64,1,0,0
627,42,0.2,0,1
628,70,2.1,0,0
629,51,1.3,0,0
630,71,2.9,0,1
631,35,1.3,0,1
632,40,1,0,0
633,165,2.7,1,0
634,18,1.5,0,1
635,32,1.4,0,1
636,35,0.2,0,0
637,120,6.1,0,0
638,31,0.1,0,0
639,35,1.5,0,0
640,32,0.2,0,1
641,85,3.7,0,0
642,139,7.8,0,0
643,103,0.3,0,0
644,152,1.4,0,0
645,33,2,0,0
646,84,2.2,0,0
647,61,1.7,0,0
648,64,2.2,0,1
649,34,1.3,0,0
650,82,2.1,0,0
651,122,5.1,1,0
652,58,1.5,0,0
653,92,2.8,0,0
654,78,2.4,0,1
655,129,4.2,1,0
656,13,0.7,0,0
657,81,2.8,0,0
658,23,0.67,0,0
659,35,0.9,0,0
660,79,1.7,0,1
661,165,3.3,0,0
662,52,2.8,0,0
663,185,2,1,0
664,49,2.2,0,0
665,64,1.8,0,1
666,61,2,0,0
667,112,2.4,0,1
668,72,2,0,0
669,18,0.5,0,0
670,41,2.5,0,0
671,61,2.6,0,0
672,105,3,1,0
673,23,0.2,0,0
674,22,0.5,0,0
675,59,2.1,0,0
676,33,2,0,0
677,11,0.9,0,1
678,204,2.8,0,0
679,61,1.8,0,0
680,103,1.8,0,0
681,51,1.5,0,1
682,164,6,1,0
683,12,0.1,0,1
684,82,3.6,0,0
685,164,2.4,0,0
686,48,1.67,0,0
687,38,0.6,0,0
688,65,1.5,0,0
689,71,1.9,0,0
690,18,0.3,0,0
691,52,1.6,0,0
692,48,2.5,0,1
693,30,1,0,0
694,40,2.2,0,0
695,112,3.8,0,0
696,115,1.9,0,0
697,63,1,0,0
698,85,3.7,0,0
699,59,2.5,0,0
700,68,0.8,0,0
701,84,1.8,0,1
702,62,0.8,0,1
703,109,4,1,0
704,141,7.6,0,0
705,129,7.4,0,0
706,30,0.7,0,0
707,148,4.7,0,0
708,25,0.67,0,1
709,21,1.3,0,0
710,72,2.2,0,0
711,59,0.9,0,1
712,83,1.8,0,0
713,10,0.3,0,0
714,84,0.6,0,0
715,98,2,0,0
716,32,1,0,1
717,31,0.4,0,1
718,94,0.5,0,1
719,21,0.2,0,1
720,110,4.4,0,0
721,38,2.2,0,0
722,39,1.4,0,0
723,132,1.2,1,1
724,61,2.6,0,0
725,92,2,0,0
726,119,6.1,0,0
727,53,2.1,0,0
728,18,1.3,0,0
729,114,4.4,1,0
730,90,3,0,1
731,140,7,0,0
732,90,3.3,0,1
733,85,1.9,0,0
734,80,1.2,0,0
735,53,1.1,0,1
736,49,2.2,0,0
737,152,3.3,1,0
738,138,2.8,1,0
739,80,2.2,0,0
740,82,2.4,0,0
741,195,8.1,0,0
742,22,1.2,0,0
743,81,2.5,0,0
744,40,2.2,0,1
745,154,2.8,0,0
746,49,1.1,0,1
747,85,3.4,0,0
748,21,0.1,0,0
749,14,1,0,0
750,60,1.6,0,1
751,138,4.33,0,0
752,98,1.3,0,0
753,22,0.6,0,0
754,49,1.2,0,1
755,102,1.9,0,1
756,45,0.7,0,1
757,82,1.3,0,0
758,81,1.8,0,0
759,35,1.5,0,0
760,59,1.9,0,0
761,52,1.1,0,0
762,84,0.7,0,0
763,85,2.7,0,0
764,65,0.2,0,1
765,89,1.7,0,1
766,109,1.8,1,0
767,81,2.8,0,0
768,38,1.1,0,0
769,72,1.7,0,0
770,78,2,0,0
771,172,6.9,1,0
772,71,2.33,0,0
773,165,4.1,1,1
774,120,3.9,0,1
775,39,0.2,0,1
776,23,0.7,0,1
777,135,4.6,1,0
778,12,0.2,0,1
779,92,0.7,0,0
780,192,6.4,1,0
781,42,0.8,0,1
782,158,3.7,1,0
783,194,6,1,1
784,160,7.6,0,0
785,98,6.3,0,0
786,164,7.6,0,1
787,42,2.5,0,0
788,202,10,1,0
789,10,0.7,0,0
790,31,0.3,0,0
791,58,0.9,0,1
792,65,2.8,0,0
793,98,4,0,1
794,150,2,0,0
795,44,2.3,0,0
796,15,0.2,0,1
797,82,2.5,0,0
798,61,0.5,0,0
799,38,2,0,0
800,39,2.1,0,0
801,173,6,0,0
802,8,0.2,0,0
803,51,2,0,0
804,62,1.8,0,0
805,34,0.7,0,0
806,132,5.9,1,0
807,44,1.5,0,0
808,162,8.1,0,0
809,64,2.2,0,0
810,111,0.1,0,1
811,41,2,0,0
812,52,1.67,0,0
813,65,2.2,0,0
814,130,1.1,1,0
815,45,0.1,0,1
816,35,1.9,0,0
817,65,0.7,0,1
818,38,0.7,0,0
819,42,1.1,0,1
820,45,1.5,0,0
821,145,0.3,0,0
822,33,1.5,0,0
823,60,1.4,0,0
824,45,2,0,1
825,72,2.4,0,0
826,34,0.2,0,0
827,23,0.67,0,0
828,45,1,0,1
829,28,1,0,0
830,81,3.8,0,0
831,72,0.7,0,0
832,49,1.67,0,0
833,31,1.2,0,0
834,63,2.2,0,0
835,150,5.4,1,0
836,142,3.9,0,1
837,74,3,0,1
838,24,0.4,0,0
839,29,1.9,0,0
840,79,2.4,0,0
841,94,0.2,0,1
842,121,4.3,0,0
843,54,2,0,0
844,73,2.4,0,0
845,71,0.8,0,0
846,29,1,0,1
847,93,2.7,0,0
848,73,1.5,0,0
849,19,0.9,0,0
850,58,0.1,0,1
851,39,0.2,0,0
852,23,1.4,0,0
853,29,0.6,0,1
854,155,0.8,0,0
855,90,2.6,0,0
856,113,2,0,0
857,42,1.8,0,0
858,30,0.2,0,1
859,19,0.5,0,0
860,124,5,1,0
861,30,0.7,0,0
862,28,1.5,0,0
863,15,1,0,0
864,70,1.6,0,0
865,10,0.1,0,0
866,22,0.3,0,1
867,70,1.9,0,0
868,61,1.6,0,0
869,161,3.3,0,1
870,29,0.8,0,1
871,35,0.5,0,0
872,48,2.8,0,0
873,44,0.8,0,0
874,88,0.8,0,0
875,40,2.1,0,1
876,21,0.4,0,0
877,58,2.8,0,0
878,59,0.1,0,0
879,74,4,0,0
880,84,1.9,0,0
881,58,0.2,0,0
882,154,8.8,0,0
883,185,1.7,0,0
884,78,1.2,0,0
885,55,1.1,0,0
886,30,0.3,0,0
887,74,2,0,0
888,118,3.3,0,0
889,182,3.3,1,0
890,82,1.6,0,1
891,29,1.5,0,0
892,120,5.4,1,1
893,53,2.4,0,0
894,43,1.4,0,1
895,59,2.2,0,1
896,84,2.6,0,1
897,161,3.4,1,0
898,21,0.4,0,1
899,63,0.7,0,0
900,172,3.4,1,1
901,51,0.2,0,1
902,24,0.7,0,0
903,95,1.6,0,0
904,59,2.4,0,0
905,51,1.8,0,0
906,28,1,0,1
907,154,2,0,0
908,15,0.3,0,1
909,55,1.67,0,1
910,149,6.33,0,1
911,79,1.8,0,1
912,68,2.6,0,0
913,78,2.6,0,0
914,34,2,0,0
915,195,0.4,1,1
916,184,8.1,0,0
917,85,3.2,0,0
918,200,8.8,0,1
919,64,0.5,0,0
920,88,2.6,0,1
921,42,2.4,0,0
922,91,1.6,0,1
923,38,0.3,0,0
924,28,1.5,0,0
925,32,0.1,0,0
926,31,0.3,0,1
927,22,0.4,0,0
928,95,3.7,1,1
929,74,1.3,0,0
930,22,1.5,0,1
931,43,0.1,0,0
932,43,1,0,0
933,112,1.8,0,1
934,9,1,0,0
935,81,0,0,0
936,131,5.7,0,1
937,19,1.5,0,0
938,62,0.7,0,0
939,19,0.4,0,0
940,8,0.3,0,1
941,193,4.7,1,0
942,129,4.4,1,0
943,30,0.7,0,1
944,80,1.8,0,0
945,22,1.5,0,1
946,33,1.5,0,0
947,64,2.1,0,0
948,60,2.2,0,0
949,81,2.9,0,1
950,45,0.6,0,0
951,112,1.8,0,0
952,83,3.4,1,0
953,180,7.6,0,1
954,28,0.2,0,0
955,169,5.2,1,0
956,14,0.7,0,0
957,43,2,0,0
958,88,0.3,0,0
959,78,2.6,0,1
960,68,0.2,0,0
961,144,3.3,0,1
962,30,1,0,0
963,120,0,0,0
964,24,0.3,0,0
965,78,2.3,0,0
966,135,5.2,1,0
967,44,1.6,0,0
968,73,3.8,0,0
969,90,2.7,0,1
970,58,0.5,0,0
971,75,3.7,0,0
972,174,1.7,1,1
973,50,1.7,0,0
974,85,4,0,0
975,54,2.2,0,0
976,83,3.4,1,0
977,24,0.2,0,0
978,45,1.1,0,0
979,68,0.8,0,1
980,48,0.1,0,1
981,114,1,0,1
982,142,2.3,1,1
983,52,0.5,0,1
984,142,3.3,0,0
985,15,0.4,0,0
986,118,4.7,0,1
987,101,4.9,0,0
988,84,2.8,0,0
989,32,1.9,0,0
990,64,0.5,0,0
991,81,3.4,0,0
992,28,1.5,0,1
993,93,0,0,0
994,185,3.6,1,0
995,42,1.8,0,0
996,45,1.6,0,1
997,49,1.67,0,0
998,69,2.1,0,0
999,94,2.8,0,0
1000,18,1.5,0,1
1001,8,0.7,0,0
1002,55,2.1,0,0
1003,85,0.4,0,0
1004,62,0,0,0
1005,65,2,0,0
1006,138,0,0,0
1007,103,2.5,0,0
1008,99,3.5,1,0
1009,152,7.3,0,0
1010,25,0.9,0,0
1011,98,2.5,0,1
1012,39,0.7,0,0
1013,40,1.3,0,1
1014,58,2.1,0,0
1015,192,1.8,1,1
1016,62,0.8,0,0
1017,69,0.8,0,0
1018,40,1.3,0,0
1019,61,0.6,0,0
1020,30,0.3,0,0
1021,29,1.5,0,0
1022,41,1,0,1
1023,118,3.3,1,0
1024,109,7,0,0
1025,122,0.2,1,0
1026,50,1.5,0,0
1027,43,0.1,0,0
1028,108,4.6,0,0
1029,110,2.5,1,0
1030,20,1.4,0,0
1031,112,1.7,0,1
1032,25,0.1,0,0
1033,42,0.7,0,1
1034,29,0.3,0,0
1035,84,2.1,0,0
1036,81,2.6,0,0
1037,55,0.9,0,1
1038,40,2.4,0,0
1039,145,5.7,1,1
1040,175,1.1,1,0
1041,78,1.8,0,0
1042,51,1.5,0,0
1043,50,1.67,0,0
1044,21,0.4,0,0
1045,79,0.2,0,1
1046,84,4,0,0
1047,34,0.4,0,0
1048,73,1.6,0,0
1049,90,0.5,0,0
1050,23,0.2,0,0
1051,145,6.1,1,1
1052,54,0.2,0,0
1053,49,2.2,0,1
1054,51,2.8,0,0
1055,8,0.6,0,0
1056,62,1,0,0
1057,25,0.67,0,0
1058,63,1.75,0,0
1059,24,0.2,0,0
1060,11,0.1,0,1
1061,23,0.1,0,1
1062,33,1.4,0,0
1063,83,3.8,1,0
1064,39,1.4,0,1
1065,138,6.9,1,0
1066,113,2.5,0,1
1067,125,0.5,1,0
1068,195,1.7,0,0
1069,105,1.2,0,0
1070,75,3.5,1,0
1071,40,1,0,0
1072,61,0.5,0,0
1073,75,4.5,0,0
1074,122,0,0,1
1075,75,3,0,1
1076,59,0.2,0,0
1077,24,1,0,0
1078,175,3.3,1,0
1079,39,0.8,0,1
1080,145,6.8,0,0
1081,24,0.4,0,0
1082,20,0.1,0,0
1083,85,2.6,0,0
1084,65,2.6,0,0
1085,191,5.6,1,0
1086,11,0,0,0
1087,40,1,0,0
1088,54,0.7,0,0
1089,95,3.8,0,1
1090,94,1,0,0
1091,79,2.2,0,0
1092,48,0.3,0,1
1093,70,2.6,0,0
1094,40,0.1,0,0
1095,44,1.8,0,1
1096,43,1.4,0,0
1097,29,0.3,0,0
1098,188,1.3,1,1
1099,114,0,0,1
1100,52,0.7,0,0
1101,13,0.2,0,0
1102,95,0.5,0,0
1103,84,2.9,0,0
1104,49,1.8,0,0
1105,181,1.7,0,1
1106,182,0.3,1,1
1107,70,2.7,0,0
1108,79,1.1,0,1
1109,61,2.8,0,1
1110,121,2.1,0,0
1111,34,0.2,0,0
1112,183,1,0,0
1113,51,1.6,0,1
1114,70,0.3,0,1
1115,39,1.7,0,1
1116,84,2,0,0
1117,122,7,0,1
1118,145,1.7,0,1
1119,98,0.4,0,1
1120,79,1,0,0
1121,38,2,0,1
1122,49,0.7,0,1
1123,38,1,0,0
1124,91,2.6,0,0
1125,29,0.2,0,1
1126,172,6.5,0,0
1127,104,3.7,1,1
1128,58,2.5,0,1
1129,171,1.9,1,0
1130,73,3.3,1,1
1131,191,2.9,0,0
1132,90,4.5,0,0
1133,55,2.3,0,1
1134,28,2,0,0
1135,42,2.5,0,0
1136,9,0.1,0,0
1137,65,1.5,0,0
1138,134,4.5,1,0
1139,83,3.4,0,0
1140,38,1,0,0
1141,13,0.3,0,1
1142,143,2.9,1,0
1143,75,1.9,0,0
1144,120,3.2,1,0
1145,91,2.8,0,0
1146,99,1.5,0,1
1147,71,0.1,0,0
1148,111,0.8,0,0
1149,108,5.2,0,0
1150,158,7.4,0,0
1151,81,2.67,0,0
1152,12,0.1,0,0
1153,21,0.4,0,0
1154,55,0.9,0,1
1155,42,1.8,0,0
1156,81,0.4,0,1
1157,13,0.2,0,0
1158,132,0.6,0,0
1159,99,1,0,0
1160,23,0.2,0,1
1161,40,2,0,0
1162,181,1.4,1,0
1163,112,2.2,0,0
1164,138,7.8,0,0
1165,94,3.8,1,0
1166,113,1.7,0,0
1167,112,5,1,1
1168,190,3,0,0
1169,38,1.1,0,0
1170,32,1.4,0,0
1171,104,0.6,0,1
1172,43,1.9,0,0
1173,45,1.7,0,0
1174,35,1.7,0,0
1175,42,1.2,0,1
1176,58,0.8,0,1
